question,answer
"What safety measures must be followed in the DG area?","• Authorized access only.
 • Keep area clean and free from flammable items.
 • Maintain earthing and fire extinguishers.
 • Ensure ventilation and waterproofing.
 • Display “⚠️ High Voltage – Authorized Access Only” signage."
"What should be done if the DG fails to start?","Security informs the Facility Manager immediately. The technician attempts manual restart. If unresolved within 5 minutes, escalate to vendor support and Secretary."
"What are the key Do’s for DG operations?","✅ Do’s:
 • Test DG weekly.
 • Maintain clean fuel.
 • Record every operation.
 • Keep ventilation and battery in check.
 • Inform residents during outages.
 • Report every fault promptly."
"What are the Don’ts for DG handling?","🚫 Don’ts:
 • Don’t overload DG.
 • Don’t smoke or use phones near DG.
 • Don’t bypass safety alarms.
 • Don’t operate with low oil/fuel.
 • Don’t allow untrained personnel to handle the DG."
"What reports are maintained for DG operation?","The Facility Team maintains DG Operation Logs, Fuel Registers, AMC reports, and Emission Certificates for at least 2 years."
"How is DG performance reviewed or audited?","• Monthly DG performance reports reviewed by FM.
 • Quarterly cost and compliance audits by the Association.
 • Annual inspection by PCB and Electrical Inspector."
"Who is accountable for DG and power management?","• **Electrical Technician** – DG operation & logs.
 • **Facility Manager** – Oversight & vendor coordination.
 • **Security Supervisor** – Communication & escalation.
 • **Secretary** – Compliance review.
 • **President/Board** – Budget & policy approval."
"What is the purpose of the RWH Monitoring & Maintenance SOP?","The SOP ensures efficient monitoring, cleaning, and functioning of the Rainwater Harvesting (RWH) system at The ACE Apartments to conserve water, enhance groundwater recharge, and meet statutory environmental norms."
"Who does this SOP apply to?","It applies to all RWH structures (recharge pits, collection chambers, filtration tanks, stormwater drains, and rooftop pipelines), the UPS Facility Management team, the Environment/Water Subcommittee, and the TAAOWA Board."
"What are the components of the RWH system in The ACE Apartments?","The system includes rooftop collection points, filter chambers (sand, gravel, charcoal, mesh), recharge pits/borewells, stormwater drains, silt traps, and overflow connections."
"Who is responsible for maintaining the RWH system?","• UPS Facility Manager – Monthly maintenance & report submission.
 • Maintenance Supervisor – Visual inspection after heavy rain.
 • RWH Vendor – Annual desilting and filter cleaning.
 • TAAOWA Water Subcommittee – Quarterly audits.
 • Secretary – Review and escalation of issues."
"What are the key inspection and maintenance activities?","• Monthly: Clean filters, remove debris from collection chambers, inspect downpipes and overflow lines.
 • Pre-Monsoon (May/June): Full desilting, filter replacement, slope and flow testing.
 • Post-Monsoon (Oct/Nov): Inspect for algae, cracks, and performance.
 • After heavy rain: Inspect within 48 hours for clogging or damage."
"What should residents do to support the RWH system?","Residents should avoid dumping waste into storm drains, report blockages, and keep rooftop drains clean of dry leaves or plastic."
"How often are RWH inspections conducted?","Routine inspections are done monthly by the Facility Manager, with quarterly audits by the Subcommittee and annual checks by authorized vendors before and after the monsoon season."
"What records are maintained for RWH monitoring?","• RWH Inspection Logbook (monthly)
 • Filter replacement and vendor reports
 • Pre/Post-Monsoon inspection reports
 • Photos of maintenance activities
 • Compliance certificates and audit reports."
"What is the escalation process for RWH-related issues?","• Blockage/Flooding – Report to UPS FM (Resolved within 24 hrs)
 • Structural Damage – Escalate to Secretary (Resolved within 3 days)
 • Contamination/Mosquito Issue – Secretary + President (48 hrs)
 • Major Engineering Issue – Board/RWH Vendor (7 days)."
"How is sustainability ensured through RWH?","• Reuse filtered water for gardening and washing.
 • Educate residents on conservation.
 • Install water-level indicators.
 • Conduct annual water audits.
 • Coordinate with CMWSSB for compliance."
"What safety measures are followed during RWH maintenance?","• Use non-slip covers for pits.
 • Wear gloves, masks, and boots during desilting.
 • Avoid confined-space entry without supervision.
 • Disconnect electrical lines near drainage systems.
 • Keep storm drains clear during monsoon."
"What are the Do’s for RWH maintenance?","✅ Do’s:
 • Inspect monthly and after major rains.
 • Replace filter media yearly.
 • Keep manholes covered.
 • Maintain accurate logs.
 • Conduct annual pre-monsoon cleaning.
 • Engage authorized vendors only."
"What are the Don’ts for RWH system users?","🚫 Don’ts:
 • Don’t dump waste or sand in drains.
 • Don’t tamper with RWH pits.
 • Don’t allow vehicle washing near recharge pits.
 • Don’t connect sewage to storm drains.
 • Don’t skip filter cleaning before monsoon."
"Who is accountable for RWH monitoring and performance?","• UPS Facility Manager – Monthly maintenance and records.
 • Secretary – Vendor coordination and oversight.
 • President – Review major issues.
 • Vendor – Technical servicing.
 • Board of Managers – Annual audits and sustainability reviews."
"How often is this SOP reviewed?","The SOP is reviewed annually before the monsoon season or immediately after major design or compliance changes."
"What is the purpose of the Vendor & Contractor Access Management SOP?","The SOP establishes a secure and compliant process for managing vendor and contractor entry, verification, supervision, and documentation within The ACE Apartments. It ensures only authorized and verified vendors operate inside the premises, maintaining safety, accountability, and operational integrity."
"Who does this SOP apply to?","This SOP applies to all vendors, contractors, and AMC service providers engaged by the Association or residents, along with the UPS Facility Management Team, Security personnel, and the Association Office responsible for oversight."
"What are the main objectives of the SOP?","• Allow only verified vendors and contractors.
 • Maintain strict gate access and ID verification.
 • Track vendor work completion and payments.
 • Prevent unauthorized labour, liability, or safety risks."
"Who are the key stakeholders and their responsibilities?","• **UPS Facility Manager:** Coordinate vendor contracts, verify documents, and maintain access logs.
 • **Security Team:** Control gate access, verify IDs, and check tools/materials.
 • **Vendors/Contractors:** Submit required documents, follow safety norms, and complete work responsibly.
 • **Secretary:** Approve onboarding and review performance.
 • **President/Board:** Finalize contracts and handle escalations."
"What documents are required for vendor registration?","Before operating within the premises, vendors must provide:
 • Company registration/GST copy
 • PAN card & address proof
 • Worker ID & police verification
 • Work order/purchase order copy
 • Insurance & safety declarations
 • NDA (if applicable)
 • PPE & equipment safety compliance
 • Health compliance certificate (if applicable)."
"What is the access approval process for vendors?","1️⃣ Pre-approval by Facility Manager or Secretary with vendor name, purpose, duration, and number of workers.
 2️⃣ Entry verification at gate against approved vendor list.
 3️⃣ Record entry in MyGate Vendor Access Log.
 4️⃣ Issue color-coded visitor/vendor pass.
 5️⃣ Log all tools and materials in Material Register.
 Unauthorized or unlisted vendors are denied entry and reported immediately."
"What are the working hours for vendors and contractors?","Vendor work is permitted only between **9:00 AM and 6:00 PM**, Monday to Saturday. Sunday or off-hour work requires written approval from the Secretary."
"What rules apply during vendor work inside the premises?","• Wear PPE at all times.
 • Avoid damaging common property.
 • Dispose waste daily outside premises.
 • Avoid noise/dust pollution.
 • Use only designated service lifts and washrooms.
 • Draw power only from approved maintenance sockets."
"How is material movement managed?","• **Tools & Equipment:** Checked and logged during entry and exit.
 • **Hazardous Items:** Require pre-approval and MSDS copy.
 • **Bulk Materials:** Offloaded only in designated areas.
 • **Waste/Debris:** Must be cleared daily, not dumped in common bins.
 • **Temporary Storage:** Allowed only with written permission."
"What are the payment and compliance requirements for vendors?","Payments are processed only after:
 • Work completion verification by FM.
 • Submission of signed completion report & invoice.
 • Approval by Secretary/Treasurer.
 AMC vendors must submit service reports after each visit. Vendor compliance records are maintained by the FM."
"What safety and environmental rules must vendors follow?","• Follow fire and waste management policies.
 • No smoking, alcohol, or littering.
 • Keep emergency exits clear.
 • Use PPE and isolate electrical/plumbing lines before working.
 • Vendors are liable for damages caused by negligence."
"What are the key Do’s for vendor and contractor management?","✅ Do’s:
 • Register and verify all vendors.
 • Maintain MyGate access logs.
 • Conduct safety briefings.
 • Use service routes/lifts only.
 • Ensure daily cleanup and waste removal.
 • Maintain vendor performance scores.
 • Conduct monthly vendor audits."
"What are the key Don’ts for vendors and contractors?","🚫 Don’ts:
 • Don’t allow unregistered vendors.
 • Don’t work beyond approved hours.
 • Don’t use residential lifts.
 • Don’t store materials in common areas.
 • Don’t process payment without inspection.
 • Don’t subcontract or replace workers.
 • Don’t violate PPE or safety rules."
"What is the escalation process for vendor-related issues?","• Unauthorized vendor – Security → FM (Immediate)
 • Contract non-compliance – FM → Secretary (24 hrs)
 • Safety violation – FM → President (2 hrs)
 • Payment dispute – Treasurer → Secretary (48 hrs)
 • Performance issues – FM → Board (Monthly review)."
"How often are vendor audits and reviews conducted?","The Facility Manager submits a monthly Vendor Access & Compliance Report, reviewed quarterly by the Secretary and annually by the Board for contract renewal or blacklisting if required."
"What records are maintained for vendor access?","• Vendor registration forms
 • Insurance & compliance certificates
 • Work orders and completion reports
 • Material movement logs
 • Payment vouchers & AMC logs
 • Monthly vendor access reports."
"Who is accountable for vendor and contractor management?","• **Security Guards:** Gate control & verification.
 • **Facility Manager:** Documentation & supervision.
 • **Secretary:** Contract and compliance review.
 • **Treasurer:** Payment authorization.
 • **President/Board:** Oversight & enforcement."
"What is the purpose of the Visitor Entry & Access Control SOP?","This SOP ensures a safe, technology-enabled visitor entry and intercom-controlled access system for The ACE Apartments, maintaining strict access control while providing convenience for residents."
"Who does this SOP apply to?","It applies to all security guards, the UPS Facility Management team, residents, tenants, visitors, delivery personnel, and vendors who enter or manage access within the premises."
"What are the main objectives of the access control process?","• Maintain 100% access control across all entry points.
 • Ensure lobby doors remain locked by default.
 • Prevent unauthorized or tailgating entry.
 • Allow residents to approve access via intercom or MyGate.
 • Maintain complete visitor logs for audit and security tracking."
"What is an access door or lobby gate?","It is an electronically controlled door installed at each residential tower lobby, linked to the building’s intercom system for controlled entry."
"What is tailgating and why is it prohibited?","Tailgating refers to unauthorized entry behind an approved visitor or resident without separate verification. It compromises building security and is strictly prohibited."
"What are the roles and responsibilities of each stakeholder?","• **Security Guards:** Verify visitor IDs, record entries in MyGate, and allow access only after resident approval.
 • **UPS Facility Manager:** Supervise system operations, ensure door locks and intercoms function correctly.
 • **Security Supervisor:** Monitor lobbies and ensure all doors remain locked.
 • **Residents/Tenants:** Approve or deny access requests.
 • **Secretary/President:** Review reports and authorize improvements."
"What is the standard visitor entry process?","At the **Main Gate:** Security verifies visitor identity, records entry in MyGate, and seeks resident approval. Once approved, the visitor is allowed up to the tower lobby.
 At the **Tower Lobby:** The visitor uses the intercom to call the resident, who verifies and unlocks the access door remotely. Unauthorized or unverified visitors are not allowed inside."
"How does the intercom access system work?","1️⃣ The visitor enters the resident’s flat number on the intercom panel.
 2️⃣ The resident receives an audio/video call.
 3️⃣ The resident verifies and presses “Unlock” to open the access door.
 4️⃣ If the call is denied or unanswered, the door remains locked."
"What happens if the intercom or door system malfunctions?","Visitors must return to the main gate for manual verification and entry approval by the Facility Manager. Manual records are maintained until the system is restored."
"Are delivery agents allowed beyond the lobby door?","No. Delivery agents (Swiggy, Zomato, Amazon, etc.) are not permitted beyond the lobby door unless the resident explicitly approves via intercom or MyGate. Residents may collect parcels at the lobby entrance."
"How is security maintained if a door is left open?","All lobby doors are auto-locking. If left open for more than 30 seconds, an alert triggers. Guards must ensure no objects block the door, and Facility Manager checks lock functionality daily."
"What is the visitor exit process?","Visitors must exit through the same lobby door used for entry. Security verifies their exit in MyGate and closes the visitor log. Delivery and vendor passes expire the same day."
"How often are security patrols conducted at night?","Random checks are conducted every 2 hours by the Security Supervisor to confirm lobby door locking and camera functioning. Reports are submitted to the Facility Manager each morning."
"What are the Do’s for residents and staff?","✅ Do’s:
 • Keep lobby doors locked.
 • Verify visitors via intercom before unlocking.
 • Report faulty locks or intercoms.
 • Use intercom only for verification.
 • Ensure security checks camera feeds regularly.
 • Collect deliveries at lobby if unsure about access."
"What are the Don’ts for residents and staff?","🚫 Don’ts:
 • Don’t leave access doors open or override locks.
 • Don’t allow tailgating or unverified access.
 • Don’t disable alarms or tamper with intercom systems.
 • Don’t share intercom credentials.
 • Don’t let vendors or delivery personnel use resident intercoms."
"What is the escalation process for access issues or security breaches?","• Access door malfunction – Facility Manager (2 hrs response)
 • Security protocol breach – Security Supervisor (Immediate)
 • Intercom system failure – FM → Vendor (4 hrs)
 • Unauthorized entry – Secretary/President (Immediate)
 • Tailgating or trespass – Security + Police (Immediate)."
"What reports and logs are maintained for visitor access?","• MyGate Visitor Logs (digital)
 • Access Door Audit Logs (if available)
 • Maintenance & Service Reports
 • Patrol Logbooks (physical/digital)
 All records are retained for at least one year."
"How is compliance and review handled?","Facility Manager reviews access reports monthly, and the Board conducts quarterly audits. Corrective actions are taken for repeated security lapses."
"Who is accountable for visitor and access control management?","• **Security Guards:** Verification and logging.
 • **Facility Manager:** System upkeep and compliance.
 • **Residents:** Responsible approvals.
 • **Secretary:** Oversight.
 • **President/Board:** Policy and escalation."
"What is the purpose of the WTP & STP SOP?","This SOP ensures the continuous, safe, and compliant operation of the Water Treatment Plant (WTP) and Sewage Treatment Plant (STP) within The ACE Apartments to provide clean drinking water and environmentally responsible wastewater treatment as per TNPCB and CMWSSB norms."
"Who does this SOP apply to?","It applies to the UPS Facility Management (FM) Team, authorized vendors, operators, and the Association Board members responsible for water management oversight."
"What are the main objectives of the SOP?","• Ensure 24×7 water supply to all residents.
 • Maintain STP performance within PCB limits.
 • Optimize energy and chemical usage.
 • Prevent wastage, overflow, and contamination.
 • Maintain transparent records for audits and statutory compliance."
"Who is responsible for managing the WTP and STP operations?","• **Facility Manager / UPS FM Team:** Daily operation, reading logs, maintenance, and vendor coordination.
 • **Association Secretary:** Reviews reports, approves AMC and lab testing.
 • **Vendors/Service Providers:** Perform preventive maintenance and calibration.
 • **President/Board:** Oversee compliance and approve major expenses."
"What is the daily operation process for the Water Treatment Plant (WTP)?","• Raw water drawn from borewell/CMWSSB.
 • Filtration through sand filter → carbon filter → softener → RO (if applicable).
 • Maintain chlorine level between 0.2–0.5 ppm.
 • Backwash filters daily.
 • Check pump seals, bearings, and pressure (1.5–3 bar).
 • Record inlet/outlet TDS, pH, and flow data in logbook."
"What is the daily operation process for the Sewage Treatment Plant (STP)?","• Check inflow and equalization levels twice daily.
 • Maintain aeration for at least 18 hours/day.
 • Ensure MLSS (2500–3500 mg/L) and DO (>2 mg/L).
 • Dewater sludge weekly and send it to authorized disposal vendors.
 • Chlorinate treated water for reuse in flushing/gardening.
 • Keep potable and treated lines strictly separate."
"What is the preventive maintenance schedule for WTP/STP?","• Filter backwash & chlorine level check – Daily
 • Pump inspection – Weekly
 • Sludge removal – Weekly
 • Sensor calibration – Monthly
 • Water testing (potable & treated) – Monthly
 • Filter media replacement – Half-yearly
 • AMC servicing – Quarterly
 • Tank cleaning – Quarterly
 • Safety audit & emergency drill – Half-yearly"
"What actions are taken during a power failure or equipment breakdown?","• Use DG backup to restore operation sequentially to prevent surge.
 • Switch to standby pumps or blowers.
 • Isolate leaking valves and stop overflow.
 • If contamination is suspected, stop distribution and test samples immediately.
 • All incidents must be logged and reported within 24 hours."
"What kind of records are maintained for WTP/STP operations?","• WTP & STP daily log sheets.
 • Chemical stock register.
 • Equipment maintenance register.
 • Water testing reports.
 • AMC and vendor certificates.
 • Energy and runtime data.
 All records are stored digitally for at least 3 years."
"What safety measures must be followed in the plant areas?","• Use PPE (gloves, boots, masks, goggles) while handling chemicals.
 • Keep areas ventilated and clean.
 • Maintain signage and restricted access.
 • Follow TNPCB and CMWSSB standards.
 • Keep fire extinguishers and first aid kits accessible."
"What are the key Do’s for WTP & STP operations?","✅ Do’s:
 • Operate plants as per OEM guidelines.
 • Conduct chlorine and pH tests daily.
 • Maintain PPE and clean records.
 • Dispose sludge through authorized handlers.
 • Use treated water only for flushing/gardening.
 • Lock and clean plant rooms regularly."
"What are the important Don’ts in WTP/STP operations?","🚫 Don’ts:
 • Don’t mix treated and potable water lines.
 • Don’t bypass aeration or chlorination.
 • Don’t handle chemicals without PPE.
 • Don’t allow unauthorized entry.
 • Don’t dump sludge in open areas.
 • Don’t ignore sensor warnings or alarms."
"What is the escalation process for WTP/STP issues?","• Routine faults – Operator → FM → Secretary
 • Major equipment failure – FM → Vendor → President
 • Water quality non-compliance – FM → Secretary → Board
 • Environmental or safety incident – FM → Secretary → TNPCB (as needed)."
"How is the WTP/STP performance reviewed and audited?","• Monthly audit by Facility Manager.
 • Quarterly inspection by Secretary & President.
 • Annual environmental audit as per TNPCB guidelines."
"Who is accountable for WTP/STP operations and compliance?","• **Operator:** Daily operation and log entries.
 • **Facility Manager:** Supervision and reporting.
 • **Vendor:** Maintenance and calibration.
 • **Secretary:** Documentation and compliance.
 • **President/Board:** Policy and audit oversight."
"What is the purpose of the Waste Collection & Segregation SOP?","This SOP ensures safe, hygienic, and environmentally responsible waste collection, segregation, and disposal in compliance with municipal Solid Waste Management Rules and TAAOWA community guidelines."
"Who does this SOP apply to?","It applies to all residents, tenants, housekeeping staff, waste collection vendors, the Facility Manager, and the Association Board overseeing waste management compliance."
"What types of waste are defined in this SOP?","• **Wet Waste (Biodegradable):** Food scraps, fruit/vegetable peels, garden waste.
 • **Dry Waste (Recyclable):** Paper, cardboard, plastics, glass, metals.
 • **Hazardous Waste:** E-waste, medical waste, sanitary pads, chemicals.
 • **Bulk Waste:** Old furniture, mattresses, large packaging materials."
"What bye-laws and regulations is this SOP aligned with?","The SOP follows the Solid Waste Management Rules, 2016, and local municipal guidelines that mandate waste segregation at source and authorised disposal. Non-compliance attracts fines."
"What are the responsibilities of residents for waste management?","Residents must:
 • Segregate waste into three bins – Green (Wet), Blue (Dry), and Red (Hazardous).
 • Hand over waste daily before 10:00 AM to housekeeping staff.
 • Inform the Facility Manager 48 hours in advance for bulk waste disposal.
 • Use biodegradable liners for wet waste bins.
 • Avoid mixing waste types or dumping in corridors."
"What is the daily waste collection process?","• Housekeeping staff collect waste door-to-door daily using colour-coded bins/trolleys.
 • Collection must be completed before 11:00 AM.
 • Missed flats are recorded in a daily collection register.
 • Housekeeping must wear gloves, masks, and uniforms during handling."
"How is waste disposal managed after collection?","• Wet and dry waste are handed over separately to GCC/ULB-authorised municipal trucks.
 • Hazardous waste is stored in a designated bin and sent only to authorised agencies.
 • Bulk waste is picked up by special vendor trucks as per FM coordination."
"What are the compliance and monitoring steps?","• Supervisors inspect segregation quality during collection.
 • Flats not following segregation receive warnings from FM.
 • Repeated violations attract fines or disciplinary action."
"Who is responsible for enforcing waste segregation and compliance?","• **Residents:** Proper segregation and timely handover.
 • **Housekeeping Staff:** Collection and record maintenance.
 • **Facility Manager:** Supervision, vendor coordination, and fines.
 • **Association Board:** Policy approval and contract management."
"What is the escalation matrix for waste-related issues?","• Segregation issue – Resident → Housekeeping Supervisor → FM.
 • Missed collection – Resident → Security → FM.
 • Vendor non-compliance – FM → Secretary.
 • Major issues – Secretary → President/Board."
"What are the Do’s for waste collection and segregation?","✅ Do’s:
 • Keep bins covered to avoid odour or pests.
 • Rinse recyclables before disposal.
 • Use biodegradable bags for wet waste.
 • Inform FM in advance for bulk disposal.
 • Follow colour-coded segregation strictly."
"What are the Don’ts for waste management?","🚫 Don’ts:
 • Don’t mix wet and dry waste.
 • Don’t throw waste from balconies or corridors.
 • Don’t delay waste handover beyond 10:00 AM.
 • Don’t dispose of hazardous waste in regular bins.
 • Don’t use non-biodegradable bags for wet waste."
"What penalties apply for non-compliance?","Residents failing to segregate or comply after warnings may face fines as defined by the Association policy or municipal guidelines."
"How is hazardous and bulk waste managed separately?","• **Hazardous Waste:** Stored in designated bins and handed only to certified vendors.
 • **Bulk Waste:** Residents must inform FM 48 hours in advance; collected by vendor truck."
"Who is ultimately accountable for overall waste management?","• **Facility Manager:** Operational compliance and vendor coordination.
 • **Housekeeping Supervisor:** Daily collection oversight.
 • **Residents:** Proper segregation.
 • **Board:** Oversight and contract management."
"What is the purpose of this SOP?","The SOP defines the working structure, duties, communication protocols, and conduct guidelines for the UPS Facility Management (FM) team and TAAOWA office operations, ensuring professional, transparent, and efficient service delivery."
"What are the office operating hours?","The TAAOWA office operates from **10:00 AM to 5:00 PM, Monday to Saturday**. The office remains closed on **Sundays and Tamil Nadu Government public holidays**. Lunch break is from **1:00 PM to 1:30 PM** (staggered to ensure service continuity)."
"Who should residents contact in case of emergency?","Residents should contact the **UPS Facility Manager** directly or raise a ticket through **MyGate Helpdesk (24×7)** for emergencies such as water leakage, power failure, or safety incidents."
"Who are the main personnel managing TAAOWA operations?","• **Society Office Administrator (TAAOWA):** Liaison between the Board and UPS team, maintains registers and communications, ensures compliance.
 • **UPS Facility Manager:** Oversees all technical, housekeeping, and security operations, ensures adherence to protocols.
 • **UPS Maintenance Supervisor:** Leads technical staff, conducts inspections, maintains maintenance logs.
 • **Housekeeping & Security Staff:** Maintain cleanliness, visitor entries, and resident interactions."
"What are the key responsibilities of the UPS Facility Manager?","• Supervise all operations – electrical, plumbing, housekeeping, and safety.
 • Verify attendance, logs, and vendor visits daily.
 • Maintain preventive maintenance schedules.
 • Report daily updates and exceptions to the Secretary.
 • Ensure compliance with all SOPs and statutory requirements."
"What are the daily operational activities managed by the UPS team?","• Complaint logging and MyGate ticket tracking.
 • Staff attendance and vendor verification.
 • Preventive maintenance checklist updates.
 • Petty cash and expense record updates.
 • Daily and weekly reports submission to Secretary."
"How often are maintenance reviews and reports conducted?","• **Daily:** Staff verification and maintenance checks.
 • **Weekly:** Facility Manager submits reports to the Secretary.
 • **Monthly:** Board reviews vendor/service provider performance.
 • **Quarterly:** Emergency drills and safety checks are conducted."
"What are the communication and documentation protocols?","• All communication by UPS team must be logged in MyGate or official logbooks.
 • Daily maintenance reports are submitted via email or hard copy to Secretary/President.
 • Notices, circulars, and invoices can only be issued via TAAOWA Office.
 • All resident complaints must be acknowledged within 24 hours and resolved within 3–5 working days."
"What is the expected code of conduct for the UPS and office staff?","✅ **Do’s:**
 • Be punctual, courteous, and professional.
 • Follow TAAOWA processes and hierarchy.
 • Respect resident privacy.
 • Use society assets responsibly.
 • Wear uniform and ID card on duty.
 • Accurately use MyGate for work tracking.
 
 🚫 **Don’ts:**
 • Don’t accept gifts, cash, or tips.
 • Don’t argue with residents or colleagues.
 • Don’t leave premises without informing FM.
 • Don’t misuse society assets or data.
 • Don’t delay reporting of breakdowns or conflicts."
"How are staff performance and discipline monitored?","• **Daily:** UPS FM reports to Secretary.
 • **Monthly:** Joint inspection with Board.
 • **Quarterly:** Performance review by President, Secretary, and UPS Manager.
 • Penalties include verbal warning, written warning, or replacement for non-compliance."
"What are the escalation levels for different operational issues?","• **Electrical/Plumbing/DG/STP:** Supervisor → FM → Secretary
 • **Housekeeping/Waste/Garden:** Housekeeping Supervisor → FM → Secretary
 • **Security/Access/CCTV:** Security Supervisor → FM → Vice President
 • **Vendor/AMC:** FM → Secretary → President
 • **Staff Misconduct:** FM → Secretary → President/Board."
"What records must be maintained in the society office?","• Daily attendance sheets (staff & vendors)
 • Complaint and maintenance registers
 • Asset and service logbooks
 • Petty cash and expense vouchers
 • Fire safety and license checklists
 • AMC agreements and insurance copies."
"What are the Do’s and Don’ts for residents interacting with UPS staff?","✅ **Do’s:**
 • Communicate politely and through official channels (MyGate or office).
 • Report issues promptly for resolution.
 • Appreciate good service through official feedback.
 
 🚫 **Don’ts:**
 • Don’t directly assign tasks outside scope.
 • Don’t offer tips or personal rewards.
 • Don’t bypass reporting hierarchy."
"Who is accountable for overall office operations?","• **UPS Facility Manager:** Daily execution and compliance.
 • **Society Administrator:** Documentation and liaison.
 • **Secretary:** Oversight and policy enforcement.
 • **President/Board:** Governance and final escalation."
"What is the purpose of this SOP?","The purpose of this SOP is to ensure the safe, hygienic, and disciplined use of the swimming pool facilities at The ACE Apartments, maintaining high operational and safety standards in line with CPCB and WHO guidelines."
"Who does this SOP apply to?","It applies to all residents, tenants, guests, UPS Facility Management staff, security, and housekeeping personnel involved in pool operations and supervision."
"What are the main objectives of this SOP?","• Maintain hygiene and safety standards.
 • Regulate pool operational hours.
 • Ensure proper supervision and prevent accidents.
 • Define maintenance schedules and staff responsibilities."
"What are the pool timings?","• Morning Session: 6:00 AM – 10:00 AM
 • Maintenance Break: 10:00 AM – 3:00 PM (pool closed)
 • Evening Session: 4:00 PM – 9:00 PM
 • Weekly Deep Cleaning: Every Monday, 10:00 AM – 4:00 PM
 Note: Pool remains closed during thunderstorms, chemical treatments, or emergency maintenance."
"Who can use the swimming pool?","• Only registered residents and tenants.
 • Guests accompanied by residents after proper entry in the visitor register.
 • Children below 12 years must be accompanied by an adult.
 • Residents with open wounds, skin infections, or contagious illnesses are not allowed."
"What are the swimming pool usage rules?","• Shower before entering the pool.
 • Use only approved swimwear (nylon/spandex).
 • No food, drinks, or glass items near pool.
 • No diving, pushing, or running.
 • No pets or smoking allowed.
 • Follow staff instructions at all times.
 • Report hazards immediately to Facility Manager."
"What safety measures are implemented at the pool?","• Regular water quality checks (chlorine and pH levels).
 • Safety signage around the pool.
 • Lifebuoys, poles, first aid kits, and AEDs available.
 • Security and FM staff oversee pool area.
 • Emergency procedures and lifeguard (if deployed)."
"What is the maintenance and water quality protocol?","• Filtration runs daily from 10 AM to 3 PM.
 • Chlorination every morning and pH tests twice daily (7.2–7.6 ideal).
 • Partial water top-up weekly and full drain every 60 days.
 • Skimmer and deck cleaning daily.
 • Deep cleaning every Monday."
"What safety equipment is available near the pool?","• Lifebuoy rings (min. 2)
 • Rescue poles/hooks
 • First aid kit
 • AED (in Clubhouse)
 • Fire extinguisher (CO₂/DCP)
 • Signage boards and depth markings
 All equipment is checked daily or weekly as per checklist."
"How is pool housekeeping maintained?","• Deck and benches cleaned daily.
 • Changing rooms cleaned twice daily.
 • Waste bins cleared regularly.
 • Pool floor vacuumed weekly.
 • Pest control and disinfection monthly."
"What should be done in case of an emergency or accident?","• Lifeguard/Security to assist and remove person from water.
 • Call Facility Manager and Ambulance (108).
 • Use AED or first aid if needed.
 • Stop pool activity until cleared.
 • Record incident in register and inform Secretary/President."
"What are the key Do’s for residents using the pool?","✅ Do’s:
 • Shower before use.
 • Wear approved swimwear.
 • Supervise children.
 • Follow pool timings.
 • Report hazards.
 • Keep pool area clean.
 • Respect privacy and decorum."
"What are the Don’ts for pool users?","🚫 Don’ts:
 • Don’t dive or run on deck.
 • Don’t use pool under alcohol influence.
 • Don’t enter during cleaning or chemical treatment.
 • Don’t bring food, drinks, or glassware.
 • Don’t tamper with pool equipment.
 • Don’t host private lessons without permission."
"Who to contact for pool-related issues?","• Hygiene/water issues – Housekeeping Supervisor → Facility Manager (resolved within 2 hours).
 • Equipment or safety issues – Security/Lifeguard → FM (immediate).
 • Accidents or violations – FM → Secretary/President (immediate)."
"What records are maintained for pool operations?","• Daily operation logbook (chlorine, pH, usage count).
 • Chemical treatment records.
 • Incident register.
 • Visitor/guest log.
 • Monthly maintenance report.
 All records are retained for one year."
"Who is accountable for pool operations and safety?","• **Facility Manager:** Daily safety and water quality.
 • **Housekeeping Supervisor:** Cleanliness.
 • **Security Supervisor:** Entry control.
 • **Lifeguard (if deployed):** Safety and response.
 • **Residents:** Compliance with rules.
 • **Secretary & President:** Oversight and enforcement."
"What is the purpose of the Gym Usage & Safety SOP?","This SOP ensures safe, disciplined, and hygienic use of the community gym by residents of The ACE Apartments while maintaining all fitness equipment in good condition."
"Who does this SOP apply to?","It applies to all residents (owners and tenants), UPS Facility Management and housekeeping staff, security personnel for access control, and the Association Office managing maintenance and incident reporting."
"What are the main objectives of this SOP?","• Promote responsible fitness habits.
 • Prevent injuries and misuse of gym equipment.
 • Maintain hygiene and sanitation.
 • Define clear conduct and timing regulations."
"What are the official gym timings?","• Morning Session: 5:30 AM – 10:00 AM
 • Cleaning/Maintenance: 10:00 AM – 4:00 PM
 • Evening Session: 4:00 PM – 10:00 PM
 • Weekly Deep Cleaning: Every Monday, 10:00 AM – 4:00 PM
 Note: Gym may close during repair or sanitation drives."
"Who can use the gym?","• Only registered residents aged 18 and above.
 • Minors aged 15–17 years may use the gym under adult supervision.
 • Guests are not allowed.
 • Residents must complete a one-time Gym Declaration Form.
 • Commercial or paid training sessions are strictly prohibited."
"Can residents hire personal trainers?","Yes, residents may bring their personal trainers after prior registration with the Facility Office and approval on MyGate. Trainers must submit valid ID proof, address proof, and certification (if applicable). Unregistered trainers are not permitted."
